hex_id,lat,lon,ndvi_2025,ndvi_2026,ndvi_2025_min,ndvi_2026_min,ndvi_2025_max,ndvi_2026_max,change,relative_change,std_2025,std_2026,pixel_count_2025,pixel_count_2026,is_vegetated,severity,direction,area_type,confidence,anomaly_score,uncertainty_flag
89209a4963bffff,33.67075215905466,72.97424852464033,0.19087037444114685,0.16785761713981628,-0.004412354435771704,0.014718614518642426,0.5339984893798828,0.5200634598731995,-0.023012757301330566,-12.056746558343628,0.1286924034357071,0.11693137139081955,1182,1182,True,Moderate,Decrease,vegetated,0.8226385777629339,-0.8568158887748308,False
894269a3473ffff,33.55844664622916,73.25541868157674,0.2614942193031311,0.2844770848751068,0.030129125341773033,0.04580003768205643,0.5444816946983337,0.5493694543838501,0.022982865571975708,8.78905301739514,0.11723262071609497,0.12422752380371094,1183,1183,True,Moderate,Increase,vegetated,0.8256450757837012,0.6447275150182854,False
89209a488a7ffff,33.75443847735351,73.10427045470948,0.3204052150249481,0.3009974956512451,0.11615833640098572,0.1797468364238739,0.5129115581512451,0.4381786286830902,-0.019407719373703003,-6.057242037147191,0.07425835728645325,0.048784736543893814,1186,1186,True,Moderate,Decrease,vegetated,0.9111523380274901,-0.7391281484530295,False
894269863c7ffff,33.612822588406935,72.97986669879174,0.15256625413894653,0.17881405353546143,-0.04735375940799713,-0.014133057557046413,0.5745632648468018,0.5717747807502747,0.026247799396514893,17.204197313915998,0.12464634329080582,0.14262379705905914,1183,1183,True,Moderate,Increase,vegetated,0.8070080461574565,0.7513124364044244,False
894269b7047ffff,33.70477569853094,73.28950213777587,0.27118295431137085,0.2659132778644562,0.11864406615495682,0.12140034139156342,0.4597529470920563,0.43553560972213745,-0.005269676446914673,-1.9432181717675583,0.06251786649227142,0.059727683663368225,1182,1182,True,Mild,Stable,vegetated,0.9117282329323795,-0.2775867283544836,False
89209a4d313ffff,33.74150106873819,73.19094555713393,0.10173231363296509,0.09173344075679779,-0.010743801482021809,0.003215434029698372,0.36752843856811523,0.3163049817085266,-0.009998872876167297,-9.828610516263032,0.05836014077067375,0.05348529294133186,1184,1184,False,,,non_vegetated,0.9192380085849065,-0.43197302122295966,False
894269b51dbffff,33.670329339538085,73.34605743197484,0.2418603003025055,0.2551986575126648,0.054326560348272324,0.03123326785862446,0.4207628667354584,0.4356067180633545,0.013338357210159302,5.5149014507450875,0.07171637564897537,0.07550788670778275,1183,1183,True,Moderate,Increase,vegetated,0.8936914613504361,0.32987912273969194,False
89209a4d217ffff,33.73280172138192,73.16911198750438,0.19287046790122986,0.16392259299755096,0.0237762238830328,0.019066937267780304,0.4135282039642334,0.328125,-0.028947874903678894,-15.008972197082695,0.0764145776629448,0.06307123601436615,1182,1182,True,Severe,Decrease,vegetated,0.8992792846980117,-1.0505699055666018,False
894269b7143ffff,33.71345186640112,73.31134079414855,0.3178350031375885,0.3172053396701813,0.09669291228055954,0.13799725472927094,0.5512765645980835,0.5306334495544434,-0.0006296634674072266,-0.19811017074625029,0.08427663892507553,0.06868436932563782,1180,1180,True,Mild,Stable,vegetated,0.8895490390157776,-0.1261118607983954,False
894269b336fffff,33.61879708803906,73.14511351323026,0.11054476350545883,0.09617619216442108,0.006473090499639511,0.0013160367961972952,0.4576386511325836,0.31044721603393555,-0.01436857134103775,-12.997966511844963,0.07407502084970474,0.05959615483880043,1182,1182,False,,,non_vegetated,0.9034779518026786,-0.5746233756830794,False
89209a4b3abffff,33.721777006393744,72.97505586241942,0.15041425824165344,0.1325303316116333,0.01972217485308647,0.04008769243955612,0.36257410049438477,0.27848342061042786,-0.01788392663002014,-11.889781486864148,0.05484559386968613,0.04355798661708832,1183,1183,True,Moderate,Decrease,vegetated,0.9289441789554769,-0.6893833944940025,False
894269b1503ffff,33.614762747650154,73.1587815997959,0.1681116670370102,0.17736504971981049,0.0035823951475322247,0.02247191034257412,0.4692378342151642,0.5312364101409912,0.009253382682800293,5.504307253560895,0.06468010693788528,0.07720433175563812,1183,1183,True,Mild,Stable,vegetated,0.8975472718072022,0.19652368209017362,False
894269bae1bffff,33.53171757672112,73.17253348722961,0.11661733686923981,0.11489865928888321,-0.03469834476709366,0.00563274510204792,0.3516870141029358,0.32277581095695496,-0.001718677580356598,-1.473775363506808,0.060999151319265366,0.0578618124127388,1183,1183,False,,,non_vegetated,0.914172194483757,-0.16166311232597794,False
89209a4deafffff,33.75599246482831,73.2273472598372,0.15737317502498627,0.1499882936477661,0.020134227350354195,0.01623455248773098,0.326221227645874,0.3239017128944397,-0.007384881377220154,-4.692592226119636,0.045897241681814194,0.04630506411194801,1185,1185,True,Mild,Stable,vegetated,0.9334220309061366,-0.3466383426682908,False
894269864c3ffff,33.63688710534369,72.92931284973585,0.13099941611289978,0.13047528266906738,-0.012288786470890045,0.0014388489071279764,0.3952995836734772,0.38991597294807434,-0.0005241334438323975,-0.40010364884426763,0.07550641149282455,0.07629375159740448,1184,1184,False,,,non_vegetated,0.8903872687384741,-0.12266679579215806,False
89209a489a3ffff,33.76315069984342,73.12610342723242,0.3867787718772888,0.35212793946266174,0.18586544692516327,0.17845658957958221,0.5378209352493286,0.476759135723114,-0.034650832414627075,-8.958824768599388,0.06584998220205307,0.055662184953689575,1186,1186,True,Severe,Decrease,vegetated,0.9122577983296952,-1.2367449739261251,False
894269b0967ffff,33.65993398843438,73.29601398437089,0.18841782212257385,0.2544305622577667,0.08565348386764526,0.09892580658197403,0.43519920110702515,0.5725343823432922,0.06601274013519287,35.03529517088291,0.06250577419996262,0.08875208348035812,1184,1184,True,Severe,Increase,vegetated,0.890778859735136,2.049453014538399,False
894269b219bffff,33.71205055990487,73.15676312724953,0.19008156657218933,0.2084328979253769,-0.04330804944038391,0.020857930183410645,0.5465574264526367,0.49227583408355713,0.01835133135318756,9.654450815049485,0.1163020133972168,0.12936192750930786,1182,1182,True,Moderate,Increase,vegetated,0.8226095744098213,0.49352943960969065,False
894269b032fffff,33.63427945038577,73.22359618657192,0.16648676991462708,0.19692553579807281,0.035087719559669495,0.043072409927845,0.39107030630111694,0.4681467115879059,0.03043876588344574,18.282993837320806,0.0547800213098526,0.08159490674734116,1182,1182,True,Severe,Increase,vegetated,0.9015256108054518,0.8881280221244547,False
89209a4c67bffff,33.790029344403365,73.17764511295269,0.24839653074741364,0.22603267431259155,0.045337092131376266,0.06908491253852844,0.4917370676994324,0.454864501953125,-0.022363856434822083,-9.003288559437717,0.07524137943983078,0.0714614987373352,1187,1187,True,Moderate,Decrease,vegetated,0.8940679454252765,-0.8356322900983811,False
89209a4836bffff,33.71441395697663,73.05165943165905,0.1618012934923172,0.16149944067001343,0.015644820407032967,0.010703859850764275,0.45006123185157776,0.3721006214618683,-0.00030185282230377197,-0.1865577312693763,0.07340056449174881,0.06876103579998016,1186,1186,True,Mild,Stable,vegetated,0.8973471373728137,-0.11541036615391431,False
89426994017ffff,33.6693071320578,72.84433811872427,0.2306191623210907,0.2580966353416443,0.006559332367032766,0.011935337446630001,0.6443736553192139,0.6438716650009155,0.02747747302055359,11.914653034033982,0.14491628110408783,0.1466793268918991,1091,1091,True,Severe,Increase,vegetated,0.7894429731455097,0.7914555675036502,False
894269b2e33ffff,33.69665052641371,73.19752983945133,0.22072872519493103,0.23082321882247925,0.014535967260599136,-0.10556185990571976,0.40204399824142456,0.45204538106918335,0.010094493627548218,4.573257793535263,0.05127561837434769,0.08678682893514633,1185,1185,True,Mild,Increase,vegetated,0.9003070772377961,0.22398204686595338,False
89426996b1bffff,33.70795036988379,72.8931582421928,0.35260486602783203,0.352649986743927,0.1975308656692505,0.1838267743587494,0.4589855968952179,0.4705394208431244,4.51207160949707e-05,0.012796396318424377,0.04234052821993828,0.047006718814373016,1184,1184,True,Mild,Stable,vegetated,0.9354836280886742,-0.10408329206887672,False
89209a4ae6fffff,33.77459115094406,73.0357449742022,0.31771019101142883,0.33140599727630615,0.1104426309466362,0.13065893948078156,0.6259703636169434,0.6161859631538391,0.01369580626487732,4.310785946549838,0.07536602020263672,0.07695875316858292,1184,1184,True,Moderate,Increase,vegetated,0.890008455141857,0.3415481737661846,False
89209a49003ffff,33.68130721382381,72.99268375741262,0.1291443258523941,0.1389644742012024,-0.03930576890707016,-0.012987012974917889,0.3163793087005615,0.3785859942436218,0.009820148348808289,7.604010694230776,0.06834743916988373,0.07378801703453064,1185,1186,False,,,non_vegetated,0.8973660156451329,0.21502594804784614,False
89426994cafffff,33.69264189090799,72.90240975844543,0.09002743661403656,0.09173715859651566,0.03017241321504116,0.03579418361186981,0.22710026800632477,0.20912005007266998,0.0017097219824790955,1.8991121448997532,0.03423742204904556,0.030789008364081383,1183,1183,False,,,bare_soil_water,0.9530453426618934,-0.049741794001343695,False
894269ba183ffff,33.552884923643475,73.14637438851398,0.13921275734901428,0.1091555580496788,-0.00733583839610219,-0.019699811935424805,0.330593466758728,0.31239446997642517,-0.03005719929933548,-21.590836839744775,0.054813846945762634,0.04073042422533035,1184,1183,False,,,non_vegetated,0.9310088454040042,-1.0867841934685845,False
89209a49c9bffff,33.707145395991674,73.03348621245033,0.1633768379688263,0.1501227170228958,0.000645994849037379,0.009807928465306759,0.43147027492523193,0.3740544617176056,-0.013254120945930481,-8.112607093338092,0.07872743159532547,0.0656181275844574,1184,1184,True,Moderate,Decrease,vegetated,0.8957701318294127,-0.5382417477130164,False
89426995947ffff,33.6212257492841,72.9139790234544,0.24922072887420654,0.2827293276786804,-0.0013633265625685453,-0.0032617254182696342,0.6351172924041748,0.6262975931167603,0.03350859880447388,13.445349813332442,0.15008807182312012,0.16172310709953308,1183,1183,True,Severe,Increase,vegetated,0.7748455978978568,0.9883438053961253,False
